,Event,Day,"Date, 2024/25 Season",Puck Drop,NOTE,Attendance - Scanned
,Tri-City,Fri,20-Sep,19:05,,"4,218"
,Tri-City,Sat,21-Sep,18:05,,"2,030"
,Wenatchee,Fri,11-Oct,19:05,,"2,156"
,Wenatchee,Sat,12-Oct,16:05,,"2,164"
,Prince Albert,Fir,18-Oct,19:05,,"3,114"
,Moose Jaw,Fri,1-Nov,19:05,,"3,048"
,Saskatoon,Sun,3-Nov,15:05,,"3,421"
,Kamloops,Tue,5-Nov,19:05,,"1,310"
,Kamloops,Wed,6-Nov,19:05,,"1,477"
,Seattle,Fri,29-Nov,19:05,,"2,842"
,Seattle,Sat,30-Nov,18:05,,"2,340"
,Regina,Tue,3-Dec,19:05,,"1,491"
,Kelowna,Sat,7-Dec,18:05,,"1,835"
,Kelowna,Sun,8-Dec,15:05,,"3,558"
,Vancouver,Fri,13-Dec,19:05,,"2,726"
,Prince George,Fri,27-Dec,19:05,,"2,409"
,Prince George,Sat,28-Dec,18:05,,"3,085"
,Vancouver,Tue,31-Dec,14:05,,"2,939"
,Everett,Fri,3-Jan,19:05,,"3,367"
,Brandon,Wed,15-Jan,19:05,,"2,166"
,Kamloops,Fri,17-Jan,19:05,,"2,567"
,Kamloops,Sat,18-Jan,18:05,,"2,913"
,SWC,Sat,25-Jan,18:05,,"3,333"
,Kelowna,Tue,4-Feb,19:05,,"1,245"
,Kelowna,Wed,5-Feb,19:05,,"1,522"
,Vancouver,Fri,14-Feb,19:05,,"3,252"
,Everett,Mon,17-Feb,15:05,,"3,897"
,Prince George,Fri,21-Feb,19:05,,"2,754"
,Prince George,Sat,22-Feb,18:05,,"2,946"
,Portland,Fri,28-Feb,19:05,,"2,696"
,Portland,Sat,1-Mar,18:05,,"3,215"
,Spokane,Fri,7-Mar,19:05,,"3,015"
,Spokane,Sat,8-Mar,18:05,,"3,606"
,Vancouver,Fri,14-Mar,19:05,,"4,942"
,Tri-City,Fri,28-Mar,19:05,Playoffs,"3,977"
,Tri-City,Sat,29-Mar,18:05,Playoffs,"4,466"
,Spokane,Wed,16-Apr,19:05,Playoffs,"3,670"
,Spokane,Fri,18-Apr,19:05,Playoffs,"5,540"
,Spokane,Sat,19-Apr,18:05,Playoffs,"3,361"
,,,,,,
,Event,Day,"Date, 2025/26 Season",Puck Drop,NOTE,Attendance - Scanned
,Penticton,Fri,19-Sep,19:05,,"3,527"
,Vancouver,Sat,27-Sep,18:05,,"2,247"
,Everett,Fri,10-Oct,19:05,,"2,075"
,Everett,Sat,11-Oct,16:05,,"2,104"
,Medicine Hat,Sat,18-Oct,18:05,,"2,861"
,Kelowna,Wed,22-Oct,19:05,$1 Dog Night,"2,245"
,Penticton,Sat,1-Nov,18:05,,"1,575"
,Penticton,Sun,2-Nov,14:05,,"1,846"
,Kelowna,Fri,7-Nov,19:05,,"2,387"
,Kelowna,Sat,8-Nov,16:05,,"2,043"
,Edmonton,Fri,14-Nov,19:05,,"2,896"
,Lethbridge,Tue,18-Nov,19:05,,"1,901"
,Seattle,Fri,28-Nov,19:05,,"3,161"
,Seattle,Sun,30-Nov,14:05,,"2,455"
,Prince George,Fri,5-Dec,19:05,,"2,161"
,Prince George,Sun,7-Dec,14:05,,"1,870"
,Vancouver,Fri,12-Dec,19:05,,"3,808"
,Vancouver,Thu,18-Dec,19:05,,"1,968"
,Calgary,Thu,1-Jan,14:05,,"2,989"
,TriCity,Sat,3-Jan,16:05,,"2,347"
,TriCity,Sun,4-Jan,14:05,,"2,295"
,Spokane,Fri,9-Jan,19:05,,"2,573"
,Spokane,Sat,10-Jan,16:05,,"2,804"
,Red Deer,Sat,31-Jan,18:05,,"4,217"
,Kamloops,Tue,3-Feb,19:05,,"1,883"
,Kamloops,Wed,4-Feb,19:05,,"1,613"
,Wenatchee,Fri,20-Feb,19:05,,"2,419"
,Wenatchee,Sat,21-Feb,18:05,,"3,167"
